,Artist,Url_spotify,Track,Album,Tempo,Url_youtube,Youtube Views,Likes,Spotify Streams
0,Gorillaz,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,Feel Good Inc.,Demon Days,138.559,https://www.youtube.com/watch?v=HyHNuVaZJ-k,693555221,6220896,1040234854
1,Gorillaz,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,Rhinestone Eyes,Plastic Beach,92.761,https://www.youtube.com/watch?v=yYDmaexVHic,72011645,1079128,310083733
2,Gorillaz,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,New Gold (feat. Tame Impala and Bootie Brown),New Gold (feat. Tame Impala and Bootie Brown),108.014,https://www.youtube.com/watch?v=qJa-VFwPpYA,8435055,282142,63063467
3,Gorillaz,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,On Melancholy Hill,Plastic Beach,120.423,https://www.youtube.com/watch?v=04mfKJWDSzI,211754952,1788577,434663559
4,Gorillaz,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,Clint Eastwood,Gorillaz,167.953,https://www.youtube.com/watch?v=1V_xRb0x9aw,618480958,6197318,617259738
5,Gorillaz,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,DARE,Demon Days,120.264,https://www.youtube.com/watch?v=uAOR6ib95kQ,259021161,1844658,323850327
6,Gorillaz,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix,New Gold (feat. Tame Impala and Bootie Brown) [Dom Dolla Remix],127.03,https://www.youtube.com/watch?v=BONNm0F7Tto,451996,11686,10666154
7,Gorillaz,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,She's My Collar (feat. Kali Uchis),Humanz (Deluxe),140.158,https://www.youtube.com/watch?v=f8NwLXYIHS4,1010982,17675,159605929
8,Gorillaz,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,Cracker Island (feat. Thundercat),Cracker Island (feat. Thundercat),120.012,https://www.youtube.com/watch?v=S03T47hapAc,24459820,739527,42671901
9,Gorillaz,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,Dirty Harry,Demon Days,192.296,https://www.youtube.com/watch?v=cLnkQAeMbIM,154761056,1386920,191074713
10,Red Hot Chili Peppers,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Californication,Californication (Deluxe Edition),96.483,https://www.youtube.com/watch?v=YlUKcNNmywk,1018811259,4394471,1055738398
11,Red Hot Chili Peppers,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Under the Bridge,Blood Sugar Sex Magik (Deluxe Edition),84.581,https://www.youtube.com/watch?v=GLvohMXgcBo,246687714,1213572,1061750522
12,Red Hot Chili Peppers,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Can't Stop,By the Way (Deluxe Edition),91.455,https://www.youtube.com/watch?v=8DyziWtkfBw,336635759,1740224,866464951
13,Red Hot Chili Peppers,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Scar Tissue,Californication (Deluxe Edition),88.969,https://www.youtube.com/watch?v=mzJj5-lubeM,435121530,1890900,613838674
14,Red Hot Chili Peppers,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Otherside,Californication (Deluxe Edition),123.229,https://www.youtube.com/watch?v=rn_YodiJO6k,673528656,3140356,732774515
15,Red Hot Chili Peppers,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Snow (Hey Oh),Stadium Arcadium,104.655,https://www.youtube.com/watch?v=yuFI5KSPAt4,320871237,1272266,860722316
16,Red Hot Chili Peppers,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Dani California,Stadium Arcadium,96.184,https://www.youtube.com/watch?v=Sb5aq5HcS1A,324228662,1456622,550067391
17,Red Hot Chili Peppers,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,By the Way,By the Way (Deluxe Edition),122.444,https://www.youtube.com/watch?v=JnfyjwChuNU,179005296,784717,367485508
18,Red Hot Chili Peppers,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Give It Away,Blood Sugar Sex Magik (Deluxe Edition),91.577,https://www.youtube.com/watch?v=Mr_uHJPUlO8,86637926,434837,301947159
19,Red Hot Chili Peppers,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Dark Necessities,The Getaway,91.959,https://www.youtube.com/watch?v=Q0oIoR9mLwc,440037964,2094182,385677873
20,50 Cent,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,In Da Club,Get Rich Or Die Tryin',90.059,https://www.youtube.com/watch?v=5qm8PH4xAss,1682616458,10481678,1041736808
21,50 Cent,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,Candy Shop,The Massacre,125.173,https://www.youtube.com/watch?v=SRcnnId15BA,838974650,5014527,701248893
22,50 Cent,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,Just A Lil Bit,The Massacre,96.946,https://www.youtube.com/watch?v=GllEDACUbNo,476133463,2523312,395155110
23,50 Cent,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,P.I.M.P.,Get Rich Or Die Tryin',78.693,https://www.youtube.com/watch?v=UDApZhXTpH8,572659065,3334710,541728561
